曜日時限,授業科目,担当教員,開講区分,開講年度学期,単位数,曜日
月5,F00040 総合英語Ⅰ,杉山　正二,週間授業,2025年度春学期,1.0単位,1
月5,F00041 総合英語ⅠＡ (前半),杉山　正二,週間授業(学期前半),2025年度春学期,0.5単位,1
月5,F00042 総合英語ⅠＢ (後半),杉山　正二,週間授業(学期後半),2025年度春学期,0.5単位,1
月5,F00050 総合英語Ⅱ,杉山　正二,週間授業,2025年度秋学期,1.0単位,1
月5,F00051 総合英語ⅡＡ (前半),杉山　正二,週間授業(学期前半),2025年度秋学期,0.5単位,1
月5,F00052 総合英語ⅡＢ (後半),杉山　正二,週間授業(学期後半),2025年度秋学期,0.5単位,1
月3,F00090 専門英語Ⅱ,森元　亜紀子,週間授業,2025年度秋学期,1.0単位,1
月3,F00091 専門英語Ⅱ,森元　亜紀子,週間授業,2025年度秋学期,2.0単位,1
月3,F00140 専門英語Ⅰ（初等教育学科）,ローズ　ジェイソン,週間授業,2025年度春学期,1.0単位,1
月3,F00141 専門英語Ⅰ,ローズ　ジェイソン,週間授業,2025年度春学期,1.0単位,1
月4,F00150 専門英語Ⅰ（初等教育学科）,ローズ　ジェイソン,週間授業,2025年度春学期,1.0単位,1
月4,F00151 専門英語Ⅰ,ローズ　ジェイソン,週間授業,2025年度春学期,1.0単位,1
月3,F00160 専門英語Ⅱ（初等教育学科）,ローズ　ジェイソン,週間授業,2025年度秋学期,1.0単位,1
月3,F00161 専門英語Ⅱ,ローズ　ジェイソン,週間授業,2025年度秋学期,1.0単位,1
月4,F00170 専門英語Ⅱ（初等教育学科）,ローズ　ジェイソン,週間授業,2025年度秋学期,1.0単位,1
月4,F00171 専門英語Ⅱ,ローズ　ジェイソン,週間授業,2025年度秋学期,1.0単位,1
月2,F01330 専門英語ⅠＡ (建築)(前半),八百板　季穂／中山　哲士／小林　正実／弥田　俊男／坂本　和彦／平山　文則／堀田　洋之／納村　信之／中西　啓二／馬淵　大宇／増田　俊哉,週間授業(学期前半),2025年度春学期,0.5単位,1
月5,F01390 専門英語１,折田　明浩／森山　佳子／古賀　雄一／奥田　靖浩／牧　涼介,週間授業,2025年度春学期,2.0単位,1
月2,F01460 専門英語ⅠＢ (建築)(後半),八百板　季穂／中山　哲士／小林　正実／弥田　俊男／坂本　和彦／平山　文則／堀田　洋之／納村　信之／中西　啓二／馬淵　大宇／増田　俊哉,週間授業(学期後半),2025年度春学期,0.5単位,1
月5,F01560 専門英語２,竹崎　誠／草野　圭弘／平野　博之／永谷　尚紀／押谷　潤,週間授業,2025年度秋学期,2.0単位,1
月1,F02650 科学技術倫理Ａ (前半)工学部,桑木　賢也／小野　朋子／田邉　信男／岡　正臣,週間授業(学期前半),2025年度秋学期,1.0単位,1
月1,F02651 科学技術倫理Ｂ (後半)工学部,桑木　賢也／小野　朋子／田邉　信男／岡　正臣,週間授業(学期後半),2025年度秋学期,1.0単位,1
月1,F02652 科学技術倫理 工学部,桑木　賢也／小野　朋子／田邉　信男／岡　正臣,週間授業,2025年度秋学期,2.0単位,1
月2,F02820 フレッシュマンセミナー 基礎理,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,1
月2,F02830 フレッシュマンセミナー 基礎理（再履修用）,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,1
月2,F02860 フレッシュマンセミナー 応化,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,1
月2,F02870 フレッシュマンセミナー 応化（再履修用）,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,1
月2,F02970 フレッシュマンセミナー 機シ,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,1
月2,F02980 フレッシュマンセミナー 機シ（再履修用）,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,1
月2,F03070 フレッシュマンセミナー 経営,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,1
月2,F03080 フレッシュマンセミナー 経営（再履修用）,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,1
月3,F03710 理解と表現,林　美帆,週間授業,2025年度春学期,2.0単位,1
月3,F03711 プレゼンテーション基礎編Ａ (前半),林　美帆,週間授業(学期前半),2025年度春学期,1.0単位,1
月3,F03712 プレゼンテーション基礎編Ｂ (後半),林　美帆,週間授業(学期後半),2025年度春学期,1.0単位,1
月1,F04260 健康の科学,中畑　里英,週間授業,2025年度春学期,2.0単位,1
月2,F04360 健康の科学,河合　史菜,週間授業,2025年度秋学期,2.0単位,1
月2,F04490 健康の科学,濵田　雄仁,週間授業,2025年度春学期,2.0単位,1
月2,F04510 生涯スポーツ,田中　淳,週間授業,2025年度春学期,1.0単位,1
月3,F04520 生涯スポーツ,田中　淳,週間授業,2025年度春学期,1.0単位,1
月4,F04530 生涯スポーツ,中畑　里英,週間授業,2025年度春学期,1.0単位,1
月4,F04660 生涯スポーツ,河合　史菜,週間授業,2025年度秋学期,1.0単位,1
月2,F04820 生涯スポーツ,濵田　雄仁,週間授業,2025年度秋学期,1.0単位,1
月3,F04830 生涯スポーツ,濵田　雄仁,週間授業,2025年度秋学期,1.0単位,1
月3,F04870 人間を読みとくＡ （ジェンダー論）,林　美帆,週間授業,2025年度秋学期,2.0単位,1
月3,F04900 人間を読みとくＡ （哲学）,入江　祐加,週間授業,2025年度春学期,2.0単位,1
