単位数,曜日時限,開講区分,担当教員,授業科目,曜日,開講年度学期,row_index
1.0単位,月5,週間授業,杉山　正二,F00040 総合英語Ⅰ,1,2025年度春学期,0
0.5単位,月5,週間授業(学期前半),杉山　正二,F00041 総合英語ⅠＡ (前半),1,2025年度春学期,1
0.5単位,月5,週間授業(学期後半),杉山　正二,F00042 総合英語ⅠＢ (後半),1,2025年度春学期,2
1.0単位,月5,週間授業,杉山　正二,F00050 総合英語Ⅱ,1,2025年度秋学期,3
0.5単位,月5,週間授業(学期前半),杉山　正二,F00051 総合英語ⅡＡ (前半),1,2025年度秋学期,4
0.5単位,月5,週間授業(学期後半),杉山　正二,F00052 総合英語ⅡＢ (後半),1,2025年度秋学期,5
1.0単位,月3,週間授業,森元　亜紀子,F00090 専門英語Ⅱ,1,2025年度秋学期,6
2.0単位,月3,週間授業,森元　亜紀子,F00091 専門英語Ⅱ,1,2025年度秋学期,7
1.0単位,月3,週間授業,ローズ　ジェイソン,F00140 専門英語Ⅰ（初等教育学科）,1,2025年度春学期,8
1.0単位,月3,週間授業,ローズ　ジェイソン,F00141 専門英語Ⅰ,1,2025年度春学期,9
1.0単位,月4,週間授業,ローズ　ジェイソン,F00150 専門英語Ⅰ（初等教育学科）,1,2025年度春学期,10
1.0単位,月4,週間授業,ローズ　ジェイソン,F00151 専門英語Ⅰ,1,2025年度春学期,11
1.0単位,月3,週間授業,ローズ　ジェイソン,F00160 専門英語Ⅱ（初等教育学科）,1,2025年度秋学期,12
1.0単位,月3,週間授業,ローズ　ジェイソン,F00161 専門英語Ⅱ,1,2025年度秋学期,13
1.0単位,月4,週間授業,ローズ　ジェイソン,F00170 専門英語Ⅱ（初等教育学科）,1,2025年度秋学期,14
1.0単位,月4,週間授業,ローズ　ジェイソン,F00171 専門英語Ⅱ,1,2025年度秋学期,15
0.5単位,月2,週間授業(学期前半),八百板　季穂／中山　哲士／小林　正実／弥田　俊男／坂本　和彦／平山　文則／堀田　洋之／納村　信之／中西　啓二／馬淵　大宇／増田　俊哉,F01330 専門英語ⅠＡ (建築)(前半),1,2025年度春学期,16
2.0単位,月5,週間授業,折田　明浩／森山　佳子／古賀　雄一／奥田　靖浩／牧　涼介,F01390 専門英語１,1,2025年度春学期,17
0.5単位,月2,週間授業(学期後半),八百板　季穂／中山　哲士／小林　正実／弥田　俊男／坂本　和彦／平山　文則／堀田　洋之／納村　信之／中西　啓二／馬淵　大宇／増田　俊哉,F01460 専門英語ⅠＢ (建築)(後半),1,2025年度春学期,18
2.0単位,月5,週間授業,竹崎　誠／草野　圭弘／平野　博之／永谷　尚紀／押谷　潤,F01560 専門英語２,1,2025年度秋学期,19
1.0単位,月1,週間授業(学期前半),桑木　賢也／小野　朋子／田邉　信男／岡　正臣,F02650 科学技術倫理Ａ (前半)工学部,1,2025年度秋学期,20
1.0単位,月1,週間授業(学期後半),桑木　賢也／小野　朋子／田邉　信男／岡　正臣,F02651 科学技術倫理Ｂ (後半)工学部,1,2025年度秋学期,21
2.0単位,月1,週間授業,桑木　賢也／小野　朋子／田邉　信男／岡　正臣,F02652 科学技術倫理 工学部,1,2025年度秋学期,22
2.0単位,月2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02820 フレッシュマンセミナー 基礎理,1,2025年度春学期,23
2.0単位,月2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02830 フレッシュマンセミナー 基礎理（再履修用）,1,2025年度春学期,24
2.0単位,月2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02860 フレッシュマンセミナー 応化,1,2025年度春学期,25
2.0単位,月2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02870 フレッシュマンセミナー 応化（再履修用）,1,2025年度春学期,26
2.0単位,月2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02970 フレッシュマンセミナー 機シ,1,2025年度春学期,27
2.0単位,月2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02980 フレッシュマンセミナー 機シ（再履修用）,1,2025年度春学期,28
2.0単位,月2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F03070 フレッシュマンセミナー 経営,1,2025年度春学期,29
2.0単位,月2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F03080 フレッシュマンセミナー 経営（再履修用）,1,2025年度春学期,30
2.0単位,月3,週間授業,林　美帆,F03710 理解と表現,1,2025年度春学期,31
1.0単位,月3,週間授業(学期前半),林　美帆,F03711 プレゼンテーション基礎編Ａ (前半),1,2025年度春学期,32
1.0単位,月3,週間授業(学期後半),林　美帆,F03712 プレゼンテーション基礎編Ｂ (後半),1,2025年度春学期,33
2.0単位,月1,週間授業,中畑　里英,F04260 健康の科学,1,2025年度春学期,34
2.0単位,月2,週間授業,河合　史菜,F04360 健康の科学,1,2025年度秋学期,35
2.0単位,月2,週間授業,濵田　雄仁,F04490 健康の科学,1,2025年度春学期,36
1.0単位,月2,週間授業,田中　淳,F04510 生涯スポーツ,1,2025年度春学期,37
1.0単位,月3,週間授業,田中　淳,F04520 生涯スポーツ,1,2025年度春学期,38
1.0単位,月4,週間授業,中畑　里英,F04530 生涯スポーツ,1,2025年度春学期,39
1.0単位,月4,週間授業,河合　史菜,F04660 生涯スポーツ,1,2025年度秋学期,40
1.0単位,月2,週間授業,濵田　雄仁,F04820 生涯スポーツ,1,2025年度秋学期,41
1.0単位,月3,週間授業,濵田　雄仁,F04830 生涯スポーツ,1,2025年度秋学期,42
2.0単位,月3,週間授業,林　美帆,F04870 人間を読みとくＡ （ジェンダー論）,1,2025年度秋学期,43
2.0単位,月3,週間授業,入江　祐加,F04900 人間を読みとくＡ （哲学）,1,2025年度春学期,44
2.0単位,月2,週間授業,三木　恒治,F04970 人間を読みとくＡ （文学）,1,2025年度秋学期,45
1.0単位,月2,週間授業(学期前半),三木　恒治,F04971 文学Ａ (前半)（文学）,1,2025年度秋学期,46
1.0単位,月2,週間授業(学期後半),三木　恒治,F04972 文学Ｂ (後半)（文学）,1,2025年度秋学期,47
2.0単位,月4,週間授業,三木　恒治,F04980 人間を読みとくＡ （文学）,1,2025年度秋学期,48
1.0単位,月4,週間授業(学期前半),三木　恒治,F04981 文学Ａ (前半)（文学）,1,2025年度秋学期,49
1.0単位,月4,週間授業(学期後半),三木　恒治,F04982 文学Ｂ (後半)（文学）,1,2025年度秋学期,50
2.0単位,月4,週間授業,藤丸　智雄,F05040 人間を読みとくＢ （倫理と宗教）,1,2025年度春学期,51
1.0単位,月4,週間授業(学期前半),藤丸　智雄,F05041 倫理と宗教Ａ (前半)（倫理と宗教）,1,2025年度春学期,52
1.0単位,月4,週間授業(学期後半),藤丸　智雄,F05042 倫理と宗教Ｂ (後半)（倫理と宗教）,1,2025年度春学期,53
2.0単位,月4,週間授業,藤丸　智雄,F05060 人間を読みとくＢ （倫理と宗教）,1,2025年度秋学期,54
1.0単位,月4,週間授業(学期前半),藤丸　智雄,F05061 倫理と宗教Ａ (前半)（倫理と宗教）,1,2025年度秋学期,55
1.0単位,月4,週間授業(学期後半),藤丸　智雄,F05062 倫理と宗教Ｂ (後半)（倫理と宗教）,1,2025年度秋学期,56
2.0単位,月1,週間授業,鉄川　大健,F05070 人間を読みとくＢ （心理学）,1,2025年度春学期,57
1.0単位,月1,週間授業(学期前半),鉄川　大健,F05071 心理学Ａ (前半)（心理学）,1,2025年度春学期,58
1.0単位,月1,週間授業(学期後半),鉄川　大健,F05072 心理学Ｂ (後半)（心理学）,1,2025年度春学期,59
2.0単位,月1,週間授業,鉄川　大健,F05090 人間を読みとくＢ （心理学）,1,2025年度秋学期,60
1.0単位,月1,週間授業(学期前半),鉄川　大健,F05091 心理学Ａ (前半)（心理学）,1,2025年度秋学期,61
1.0単位,月1,週間授業(学期後半),鉄川　大健,F05092 心理学Ｂ (後半)（心理学）,1,2025年度秋学期,62
2.0単位,月2,週間授業,鉄川　大健,F05110 人間を読みとくＢ （心理学）鉄川大健,1,2025年度春学期,63
2.0単位,月2,週間授業,鉄川　大健,F05120 人間を読みとくＢ （心理学）鉄川大健,1,2025年度秋学期,64
2.0単位,月2,週間授業,林　美帆,F05160 人間を読みとくＢ （産業と倫理）林美帆,1,2025年度春学期,65
2.0単位,月2,週間授業,林　美帆,F05170 人間を読みとくＢ （産業と倫理）林美帆,1,2025年度秋学期,66
2.0単位,月3,週間授業,辻　維周,F05260 文化を読みとくＡ （比較文化論）,1,2025年度春学期,67
2.0単位,月3,週間授業,辻　維周,F05270 文化を読みとくＡ （比較文化論）,1,2025年度秋学期,68
2.0単位,月3,週間授業,平田　豊／藤原　佐千子,F05480 社会を読みとくＡ （社会に潜む罠を知る）,1,2025年度春学期,69
1.0単位,月3,週間授業(学期前半),平田　豊／藤原　佐千子,F05481 政治学Ａ （社会に潜む罠を知る）,1,2025年度春学期,70
1.0単位,月3,週間授業(学期後半),平田　豊／藤原　佐千子,F05482 政治学Ｂ （社会に潜む罠を知る）,1,2025年度春学期,71
2.0単位,月3,週間授業,平田　豊,F05490 社会を読みとくＡ （社会に潜む罠を知る）,1,2025年度秋学期,72
1.0単位,月3,週間授業(学期前半),平田　豊,F05491 政治学Ａ (前半)（社会に潜む罠を知る）,1,2025年度秋学期,73
1.0単位,月3,週間授業(学期後半),平田　豊,F05492 政治学Ｂ (後半)（社会に潜む罠を知る）,1,2025年度秋学期,74
2.0単位,月2,週間授業,高戸　仁郎,F05540 社会を読みとくＡ （福祉環境論）,1,2025年度秋学期,75
1.0単位,月2,週間授業(学期前半),高戸　仁郎,F05541 福祉環境論Ａ (前半)（福祉環境論）,1,2025年度秋学期,76
1.0単位,月2,週間授業(学期後半),高戸　仁郎,F05542 福祉環境論Ｂ (後半)（福祉環境論）,1,2025年度秋学期,77
2.0単位,月1,週間授業,河野　敏行／川島　正行／加瀬　遼一,F06010 技術を読みとく （数学の仕組みを読みとく）,1,2025年度春学期,78
2.0単位,月2,週間授業,中川　重和,F06060 基盤数学（微分積分１） 中川 重和,1,2025年度春学期,79
2.0単位,月2,週間授業,大熊　一正,F06080 基盤数学（微分積分１） 大熊 一正,1,2025年度春学期,80
2.0単位,月2,週間授業,奥村　英則,F06090 基盤数学（微分積分１） 奥村 英則,1,2025年度春学期,81
2.0単位,月2,週間授業,小野　舞子,F06120 基盤数学（微分積分１） 小野 舞子〔2年次以上〕,1,2025年度春学期,82
2.0単位,月2,週間授業,平松　直哉,F06150 基盤数学（微分積分１） 平松 直哉,1,2025年度春学期,83
2.0単位,月2,週間授業,中川　重和,F06180 基盤数学（微分積分２） 中川 重和,1,2025年度秋学期,84
2.0単位,月2,週間授業,大熊　一正,F06200 基盤数学（微分積分２） 大熊 一正,1,2025年度秋学期,85
2.0単位,月2,週間授業,奥村　英則,F06210 基盤数学（微分積分２） 奥村 英則,1,2025年度秋学期,86
2.0単位,月2,週間授業,小野　舞子,F06250 基盤数学（微分積分２） 小野 舞子〔2年次以上〕,1,2025年度秋学期,87
2.0単位,月2,週間授業,平松　直哉,F06280 基盤数学（微分積分２） 平松 直哉,1,2025年度秋学期,88
2.0単位,月1,週間授業,村本　哲也,F06390 基盤物理学１ 村本 哲也,1,2025年度春学期,89
2.0単位,月1,週間授業,村本　哲也,F06391 物理学Ⅰ 村本 哲也,1,2025年度春学期,90
2.0単位,月1,週間授業,矢城　陽一朗,F06410 基盤物理学１ 矢城 陽一朗,1,2025年度春学期,91
2.0単位,月1,週間授業,矢城　陽一朗,F06411 物理学Ⅰ 矢城 陽一朗,1,2025年度春学期,92
2.0単位,月1,週間授業,稲垣　祐次,F06430 基盤物理学１ 稲垣 祐次,1,2025年度春学期,93
2.0単位,月1,週間授業,稲垣　祐次,F06431 物理学基礎論Ⅰ 稲垣 祐次,1,2025年度春学期,94
2.0単位,月1,週間授業,豊田　新,F06450 基盤物理学１ 豊田 新,1,2025年度春学期,95
2.0単位,月1,週間授業,豊田　新,F06451 物理学基礎論Ⅰ 豊田 新,1,2025年度春学期,96
2.0単位,月1,週間授業,重松　利信,F06470 基盤物理学１ 重松 利信,1,2025年度春学期,97
2.0単位,月1,週間授業,重松　利信,F06471 物理学基礎論Ⅰ 重松 利信,1,2025年度春学期,98
2.0単位,月1,週間授業,村本　哲也,F06490 基盤物理学２ 村本 哲也,1,2025年度秋学期,99
2.0単位,月1,週間授業,村本　哲也,F06491 物理学Ⅱ 村本 哲也,1,2025年度秋学期,0
2.0単位,月1,週間授業,矢城　陽一朗,F06510 基盤物理学２ 矢城 陽一朗,1,2025年度秋学期,1
2.0単位,月1,週間授業,矢城　陽一朗,F06511 物理学Ⅱ 矢城 陽一朗,1,2025年度秋学期,2
2.0単位,月1,週間授業,稲垣　祐次,F06530 基盤物理学２ 稲垣 祐次,1,2025年度秋学期,3
2.0単位,月1,週間授業,稲垣　祐次,F06531 物理学基礎論Ⅱ 稲垣 祐次,1,2025年度秋学期,4
2.0単位,月1,週間授業,豊田　新,F06550 基盤物理学２ 豊田 新,1,2025年度秋学期,5
2.0単位,月1,週間授業,豊田　新,F06551 物理学基礎論Ⅱ 豊田 新,1,2025年度秋学期,6
2.0単位,月1,週間授業,重松　利信,F06570 基盤物理学２ 重松 利信,1,2025年度秋学期,7
2.0単位,月1,週間授業,重松　利信,F06571 物理学基礎論Ⅱ 重松 利信,1,2025年度秋学期,8
2.0単位,月4 月5,週間授業,稲垣　祐次／藤田　佳江／池長　志紋,F06750 基盤物理学実験 月45,1,2025年度春学期,9
2.0単位,月4 月5,週間授業,稲垣　祐次／藤田　佳江／池長　志紋,F06751 物理学基礎実験 月45,1,2025年度春学期,10
2.0単位,月4 月5,週間授業,稲垣　祐次／重松　利信／藤田　佳江／池長　志紋／松島　康,F06760 基盤物理学実験 月45 稲垣祐次他,1,2025年度秋学期,11
2.0単位,月4 月5,週間授業,稲垣　祐次／重松　利信／藤田　佳江／池長　志紋／松島　康,F06761 物理学基礎実験 月45 稲垣祐次他,1,2025年度秋学期,12
2.0単位,月4 月5,週間授業,坂根　弦太／堀越　亮／森　義裕／齋藤　亜沙実,F06800 基盤化学実験 月45,1,2025年度春学期,13
2.0単位,月4 月5,週間授業,堀越　亮／青木　宏之／坂根　弦太／森　義裕／齋藤　亜沙実,F06840 基盤化学実験 月45,1,2025年度秋学期,14
2.0単位,月4 月5,週間授業,堀越　亮／青木　宏之／坂根　弦太／森　義裕／齋藤　亜沙実,F06841 化学基礎実験 月45,1,2025年度秋学期,15
2.0単位,月4 月5,週間授業,佐藤　友彦／青木　一勝／山口　一裕,F06900 基盤地学実験 月45,1,2025年度秋学期,16
2.0単位,月4 月5,週間授業,佐藤　友彦／青木　一勝／山口　一裕,F06901 地学基礎実験 月45,1,2025年度秋学期,17
2.0単位,月3,週間授業,堀　純也,F07020 情報処理工学,1,2025年度春学期,18
2.0単位,月1,週間授業,杉山　正二,F07040 基礎英語 杉山正二,1,2025年度春学期,19
2.0単位,月1,週間授業,石田　美佐江,F07050 基礎英語 石田美佐江,1,2025年度春学期,20
2.0単位,月2,週間授業,西川　憲一,F07120 基盤英語（初級） 〔2年次以上〕,1,2025年度春学期,21
2.0単位,月1,週間授業,杉山　正二,F07140 基盤英語（初級）,1,2025年度秋学期,22
2.0単位,月2,週間授業,杉山　正二,F07150 基盤英語（初級）,1,2025年度秋学期,23
2.0単位,月2,週間授業,杉山　正二,F07250 基盤英語（準中級） 〔2年次以上〕,1,2025年度春学期,24
2.0単位,月1,週間授業,太田　由佳,F07270 基盤英語（準中級） 太田由佳,1,2025年度秋学期,25
2.0単位,月1,週間授業,伊野家　伸一,F07280 基盤英語（準中級） 伊野家伸一,1,2025年度秋学期,26
2.0単位,月2,週間授業,太田　由佳,F07290 基盤英語（準中級） 太田由佳,1,2025年度秋学期,27
2.0単位,月2,週間授業,伊野家　伸一,F07300 基盤英語（準中級） 伊野家伸一,1,2025年度秋学期,28
2.0単位,月2,週間授業,石田　美佐江,F07490 基盤英語（中級） 〔2年次以上〕,1,2025年度春学期,29
2.0単位,月1,週間授業,赤羽　美鳥,F07510 基盤英語（中級）,1,2025年度秋学期,30
2.0単位,月2,週間授業,赤羽　美鳥,F07520 基盤英語（中級）,1,2025年度秋学期,31
